code,status,rows,last_date
sh.600993,ok,1942,2025-12-31
sh.600995,ok,1931,2025-12-31
sh.600996,ok,1942,2025-12-31
sh.600998,ok,1942,2025-12-31
sh.600999,ok,1936,2025-12-31
sh.601000,ok,1942,2025-12-31
sh.601001,ok,1942,2025-12-31
sh.601002,ok,1942,2025-12-31
sh.601003,ok,1930,2025-12-31
sh.601005,ok,1940,2025-12-31
sh.601006,ok,1942,2025-12-31
sh.601009,ok,1942,2025-12-31
sh.601012,ok,1936,2025-12-31
sh.601016,ok,1936,2025-12-31
sh.601018,ok,1942,2025-12-31
sh.601019,ok,1942,2025-12-31
sh.601020,ok,1934,2025-12-31
sh.601021,ok,1942,2025-12-31
sh.601058,ok,1942,2025-12-31
sh.601059,ok,691,2025-12-31
sh.601061,ok,664,2025-12-31
sh.601066,ok,1831,2025-12-31
sh.601068,ok,1779,2025-12-31
sh.601077,ok,1501,2025-12-31
sh.601088,ok,1932,2025-12-31
sh.601098,ok,1942,2025-12-31
sh.601099,ok,1942,2025-12-31
sh.601100,ok,1942,2025-12-31
sh.601106,ok,1941,2025-12-31
sh.601108,ok,1936,2025-12-31
sh.601111,ok,1941,2025-12-31
sh.601117,ok,1942,2025-12-31
sh.601118,ok,1829,2025-12-31
sh.601127,ok,1938,2025-12-31
sh.601128,ok,1942,2025-12-31
sh.601136,ok,734,2025-12-31
sh.601138,ok,1838,2025-12-31
sh.601139,ok,1942,2025-12-31
sh.601155,ok,1942,2025-12-31
sh.601156,ok,1109,2025-12-31
sh.601158,ok,1942,2025-12-31
sh.601162,ok,1744,2025-12-31
sh.601163,ok,1942,2025-12-31
sh.601166,ok,1942,2025-12-31
sh.601168,ok,1942,2025-12-31
sh.601169,ok,1942,2025-12-31
sh.601179,ok,1942,2025-12-31
sh.601186,ok,1942,2025-12-31
sh.601187,ok,1260,2025-12-31
sh.601198,ok,1922,2025-12-31
sh.601200,ok,1942,2025-12-31
sh.601211,ok,1923,2025-12-31
sh.601212,ok,1937,2025-12-31
sh.601216,ok,1872,2025-12-31
sh.601225,ok,1942,2025-12-31
sh.601228,ok,1942,2025-12-31
sh.601229,ok,1942,2025-12-31
sh.601231,ok,1934,2025-12-31
sh.601233,ok,1942,2025-12-31
sh.601236,ok,1571,2025-12-31
sh.601238,ok,1942,2025-12-31
sh.601288,ok,1942,2025-12-31
sh.601298,ok,1680,2025-12-31
sh.601311,ok,1942,2025-12-31
sh.601319,ok,1730,2025-12-31
sh.601326,ok,1942,2025-12-31
sh.601328,ok,1942,2025-12-31
sh.601333,ok,1942,2025-12-31
sh.601336,ok,1942,2025-12-31
sh.601360,ok,1928,2025-12-31
sh.601375,ok,1942,2025-12-31
sh.601377,ok,1936,2025-12-31
sh.601390,ok,1868,2025-12-31
sh.601398,ok,1942,2025-12-31
sh.601399,ok,1352,2025-12-31
sh.601456,ok,1296,2025-12-31
sh.601512,ok,1463,2025-12-31
sh.601555,ok,1930,2025-12-31
sh.601567,ok,1942,2025-12-31
sh.601568,ok,1265,2025-12-31
sh.601577,ok,1762,2025-12-31
sh.601598,ok,1687,2025-12-31
sh.601600,ok,1907,2025-12-31
sh.601601,ok,1942,2025-12-31
sh.601607,ok,1942,2025-12-31
sh.601608,ok,1942,2025-12-31
sh.601611,ok,1942,2025-12-31
sh.601615,ok,1684,2025-12-31
sh.601618,ok,1942,2025-12-31
sh.601628,ok,1942,2025-12-31
sh.601633,ok,1942,2025-12-31
sh.601636,ok,1942,2025-12-31
sh.601658,ok,1471,2025-12-31
sh.601665,ok,1103,2025-12-31
sh.601666,ok,1942,2025-12-31
sh.601668,ok,1942,2025-12-31
sh.601669,ok,1942,2025-12-31
sh.601678,ok,1942,2025-12-31
sh.601688,ok,1942,2025-12-31
sh.601689,ok,1942,2025-12-31
sh.601696,ok,1422,2025-12-31
sh.601698,ok,1582,2025-12-31
sh.601699,ok,1942,2025-12-31
sh.601717,ok,1940,2025-12-31
sh.601718,ok,1942,2025-12-31
sh.601727,ok,1899,2025-12-31
sh.601728,ok,1058,2025-12-31
sh.601766,ok,1942,2025-12-31
sh.601777,ok,1937,2025-12-31
sh.601778,ok,1367,2025-12-31
sh.601788,ok,1942,2025-12-31
sh.601799,ok,1942,2025-12-31
sh.601800,ok,1942,2025-12-31
sh.601801,ok,1942,2025-12-31
sh.601808,ok,1942,2025-12-31
sh.601811,ok,1942,2025-12-31
sh.601816,ok,1445,2025-12-31
sh.601818,ok,1942,2025-12-31
sh.601825,ok,1059,2025-12-31
sh.601828,ok,1925,2025-12-31
sh.601838,ok,1921,2025-12-31
sh.601857,ok,1942,2025-12-31
sh.601858,ok,1942,2025-12-31
sh.601860,ok,1698,2025-12-31
sh.601865,ok,1672,2025-12-31
sh.601866,ok,1931,2025-12-31
sh.601868,ok,1033,2025-12-31
sh.601869,ok,1809,2025-12-31
